Greek,Greek_Cypriot,0.015
Greek_Cypriot,Greek,0.015
Welsh,Irish,0.016
Irish,Welsh,0.016
Slovenian,Serbo-Croatian,0.019
Serbo-Croatian,Slovenian,0.019
Tamil,Telugu,0.023
Kazakh,Kirghiz,0.023
Kazakh,Turkish,0.023
Kirghiz,Kazakh,0.023
Telugu,Tamil,0.023
Turkish,Kazakh,0.023
Turkish,Kirghiz,0.023
Kirghiz,Turkish,0.023
Even_2,Even_1,0.024
Evenki,Even_1,0.024
Evenki,Even_2,0.024
Even_1,Evenki,0.024
Even_1,Even_2,0.024
Even_2,Evenki,0.024
Lak,Archi,0.025
Archi,Lak,0.025
Faroese,Norwegian,0.033
Faroese,Danish,0.033
Danish,Faroese,0.033
Norwegian,Faroese,0.033
German,Dutch,0.034
Afrikaans,Dutch,0.034
Dutch,German,0.034
Dutch,Afrikaans,0.034
Polish,Russian,0.038
Russian,Serbo-Croatian,0.038
Russian,Slovenian,0.038
Russian,Polish,0.038
Serbo-Croatian,Russian,0.038
Slovenian,Russian,0.038
Hindi,Marathi,0.043
Marathi,Hindi,0.043
Spanish,Portuguese,0.045
Portuguese,Spanish,0.045
Italian,Siciliano,0.046
Siciliano,Italian,0.046
Kirghiz,Yakut,0.047
Turkish,Yakut,0.047
Yakut,Turkish,0.047
Yakut,Kirghiz,0.047
Yakut,Kazakh,0.047
Udmurt,Mari,0.047
Mari,Udmurt,0.047
Kazakh,Yakut,0.047
Turkish,Uzbek,0.049
Danish,Norwegian,0.049
Kazakh,Uzbek,0.049
Norwegian,Danish,0.049
Uzbek,Turkish,0.049
Uzbek,Kirghiz,0.049
Uzbek,Kazakh,0.049
Kirghiz,Uzbek,0.049
English,Afrikaans,0.051
Afrikaans,English,0.051
German,Afrikaans,0.052
Afrikaans,German,0.052
Serbo-Croatian,Polish,0.058
Slovenian,Polish,0.058
Polish,Slovenian,0.058
Polish,Serbo-Croatian,0.058
Portuguese,Italian,0.061
Italian,Portuguese,0.061
Portuguese,Siciliano,0.062
Italian,Calabrese_Northern,0.062
Siciliano,Portuguese,0.062
Calabrese_Northern,Italian,0.062
Icelandic,Norwegian,0.067
Norwegian,Icelandic,0.067
German,Icelandic,0.068
Danish,Icelandic,0.068
Icelandic,German,0.068
Icelandic,Danish,0.068
English,Dutch,0.068
Dutch,Norwegian,0.068
Dutch,Faroese,0.068
Dutch,Danish,0.068
Faroese,Dutch,0.068
Danish,Dutch,0.068
Dutch,English,0.068
Norwegian,Dutch,0.068
Danish,English,0.069
English,Danish,0.069
Norwegian,English,0.069
English,Norwegian,0.069
Faroese,English,0.069
English,Faroese,0.069
Estonian,Finnish,0.073
Uzbek,Yakut,0.073
Yakut,Uzbek,0.073
Finnish,Estonian,0.073
Siciliano,Calabrese_Northern,0.075
Calabrese_Northern,Siciliano,0.075
Basque_Central,Basque_Western,0.08
Basque_Western,Basque_Central,0.08
Mandarin,Cantonese,0.08
Cantonese,Mandarin,0.08
Portuguese,French,0.082
French,Portuguese,0.082
Greek,Greek_Calabria,0.083
Greek_Calabria,Greek_Cypriot,0.083
Greek_Calabria,Greek,0.083
German,Slovenian,0.083
German,Serbo-Croatian,0.083
Greek_Cypriot,Greek_Calabria,0.083
Bulgarian,Serbo-Croatian,0.083
Serbo-Croatian,Bulgarian,0.083
Bulgarian,Slovenian,0.083
Bulgarian,Russian,0.083
Serbo-Croatian,Icelandic,0.083
Slovenian,German,0.083
Serbo-Croatian,German,0.083
Russian,Bulgarian,0.083
Icelandic,Serbo-Croatian,0.083
Icelandic,Slovenian,0.083
Slovenian,Bulgarian,0.083
Slovenian,Icelandic,0.083
